what do you think?,player_name,trade_date,season,trade_type,from_team,to_team,num_teams,position_group,is_pitcher,age_at_trade,contract_status,years_control_remaining,salary_m,aav_m,war_yr0,g_yr0,war_yr1,g_yr1,war_yr2,g_yr2,war_yr3,g_yr3,war_peak,covid_yr,wWAR,war_trend,trend_label,yr0_rate,avail_pct,avail_grade,peak_gap,key_pieces,return_summary,return_tier,return_prospect_grades,notes
T034,Daulton Varsho,12/8/2022,2023,offseason,ARI,TOR,2,C,0,25,arb1,4,0.72,0.72,,,4.3,151,1.6,95,0.1,37,4.9,3,3.1,1.2,rising,,0.759,C,1.8,"Gabriel Moreno,Lourdes Gurriel Jr.",Top-10 national C prospect + established ML OF,7,"P1, MLB-solid",Moreno elite catching prospect; Gurriel proven ML outfielder; ARI won return long-term
T035,Garrett Crochet,12/11/2024,2025,offseason,CWS,BOS,2,SP,1,24,signed,2,0.74,0.74,,,4.63,32,0.2,13,,,4.1,,2.66,1.97,rising,,0.75,C,1.44,"Braden Montgomery,Kyle Teel,Wikelman Gonzalez,Chase Meidroth",Top system prospect + C prospect + two depth pieces,8,"P2, P2, P5, P5",Age-24 ace on team-friendly deal; CWS sold high on pre-arb/arb1 talent
T036,Dylan Cease,3/13/2024,2024,offseason,CWS,SDP,2,SP,1,28,arb3,1,8,8,,,3.58,33,4.37,32,4.49,32,6.4,,4.07,-0.49,stable,,1.078,A+,2.33,"Drew Thorpe,Jairo Iriarte,Samuel Zavala,Steven Wilson",Three prospects + MLB reliever (Wilson); Thorpe headlined as SD top-5 SP prospect; CWS sell-off,7,"P3, P4, P4, MLB-depth",Thorpe was SD top-5 SP prospect; Iriarte/Zavala top-15 SD prospects; Steven Wilson was MLB-ready reliever; CWS sell-off at peak value
T037,Corbin Burnes,2/1/2024,2024,offseason,MIL,BAL,2,SP,1,29,arb3,1,10,10,,,3.5,32,4.3,33,7.47,28,5.3,,4.76,-1.26,declining,,1.033,A+,0.54,"Joey Ortiz,DL Hall,2024 Comp Balance A Pick",Two prospects (Ortiz/Hall) + 2024 Comp Balance A pick (#34); Burnes walk year; MIL maximized return,6,"P4, P5, P4",Burnes walk year; tier reflects 1yr control only; MIL maximized return on departing ace
T038,Tyler Glasnow + Manuel Margot,12/5/2023,2024,offseason,TB,LAD,2,SP,1,30,signed,1,14,14,,,3.21,21,0.4,2,2.4,14,2.4,,2.07,1.14,rising,,0.411,F,0.33,"Ryan Pepiot, Jonny DeLuca",MLB SP prospect + veteran OF,6,"MLB-depth, MLB-depth",Glasnow signed LAD extension; TB sold controlled SP; Pepiot as future rotation piece (TB also sent Maneul Margot to LAD)
T039,Nolan Arenado,2/1/2021,2021,offseason,COL,STL,2,3B,0,29,signed,6,35,35,,,1.5,48,6.13,155,6.3,156,7.1,1,6.2,-0.07,stable,,0.96,A+,0.9,"Austin Gomber, Elehuris Montero, Tony Locey, Mateo Gil, Jake Sommers",SP prospect + four depth pieces + COL ate ~$50M,5,"P4, P4, P6, P6, P6",COL paid massive salary relief to move Arenado; tier reflects prospect return only
T040,Trevor Bauer,7/31/2019,2019,deadline,CLE,CIN,3,SP,1,28,arb3,0,13,13,1.8,24,6,28,2.9,32,2.1,28,6,,3.99,2.01,rising,2.25,0.978,A,2.01,"Yasiel Puig,Scott Moss,Franmil Reyes,Logan Allen,Victor Nova",Five-piece 3-team haul: Puig + Reyes (MLB OFs) + Moss + Allen + Nova; CIN sent Trammell to SDP,6,"MLB-solid, P6, MLB-depth, P4, P6",3-team deal CLE/CIN/SDP; CIN also sent Taylor Trammell (OF prospect) to SDP; Bauer won NL Cy Young with CIN 2020; later signed with LAD as FA Feb 2021 (3yr/$102M)
T041,Mike Clevinger,8/31/2020,2020,deadline,CLE,SDP,2,SP,1,29,signed,2,4.5,4.5,0.5,4,4.2,21,5.4,32,3,27,5.4,0,4.3,-0.1,stable,,0.889,B,1.1,"Gabriel Arias,Joey Cantillo,Austin Hedges,Owen Miller,Josh Naylor,Cal Quantrill",Six players including multiple top prospects,7,"P3, P5, MLB-depth, P5, MLB-depth, MLB-depth",Large package for cost-controlled SP; several pieces became ML contributors; CLE also sent Greg Allen (OF) to SDP in the deal; SDP received Matt Waldron as PTBNL (11/9/2020)
T042,Joey Gallo,7/30/2021,2021,deadline,TEX,NYY,2,OF,0,27,arb2,2,5,5,4.1,95,1.6,57,3.1,70,2.3,148,4.1,1,2.76,0.34,stable,6.99,0.673,D,1.34,"Trevor Hauver, Ezequiel Duran, Glenn Otto, Josh Smith",Four prospects including multiple near-MLB pieces,6,"P6, P5, P4, P5",NYY bought power bat; Joely Rodriguez went TEX to NYY alongside Gallo (additional piece NYY received); Duran became solid ML piece
T044,Lance Lynn,12/7/2020,2021,offseason,TEX,CWS,2,SP,1,33,rental,0,8,8,,,2.2,13,6.75,33,0.4,31,7.7,1,4.03,2.72,rising,,1.067,A+,3.67,"Avery Weems,Dane Dunning",Two pitching prospects (Dunning SP + Weems LHP); Lynn declined opt-out at 2020 deadline,5,"P6, P4",TEX sold durable SP at Winter Meetings; Lynn declined no-trade waiver at July 2020 deadline; Dane Dunning was 2016 1st-round pick (29th overall)
T045,Chris Bassitt,3/12/2022,2022,offseason,OAK,NYM,2,SP,1,33,arb3,1,5,5,,,3.3,27,2.2,11,2.1,28,4,2,2.85,0.45,stable,,0.917,B,1.15,"JT Ginn, Adam Oller",Two pitching prospects,5,"P4, P6",OAK sell-off of undervalued durable SP
T046,Noah Syndergaard,7/30/2022,2022,deadline,LAA,PHI,2,SP,1,29,rental,0,9.1,9.1,1.3,15,-0.1,2,2.1,32,4.31,25,3.7,,1.74,-1.84,declining,2.6,0.656,D,1.96,"Jadiel Sanchez, Mickey Moniak",Two prospects (Moniak former #1 pick + Sanchez); post-TJ health risk discounted return significantly,3,"MLB-depth, P6",Syndergaard returning from TJ; health risk discounted return significantly
T047,Whit Merrifield,8/2/2022,2022,deadline,KCR,TOR,2,IF,0,33,arb3,0,5.5,5.5,-0.3,95,2.67,162,0.7,60,3.5,162,3.8,2,2.98,-0.31,stable,-0.51,1,A+,0.82,"Samad Taylor,Max Castillo",Two prospects,4,"P5, P5",Veteran utility rental; aging profile limited return
T048,Jose Quintana + Chris Stratton,7/31/2022,2022,deadline,STL,PIT,2,SP,1,34,rental,0,13,13,2.1,20,0.34,10,0.17,1,3.49,31,4.9,2,1.52,-1.18,declining,3.15,0.683,C,3.38,"Malcom Nunez, Johan Oviedo",Two prospects (Nunez + Oviedo); PIT also sent Stratton to STL,3,"P4, MLB-depth",Serial rental SP; STL sold expiring deal at minimal return PIT also included Chris Stratton
T049,Jorge Soler,7/30/2021,2021,deadline,KCR,ATL,2,OF,0,29,rental,0,7.5,7.5,-1,94,0.2,43,3.5,162,0.3,61,3.5,1,2.13,1.37,rising,-1.72,0.688,C,1.37,Kasey Kalich,One fringe prospect (Kalich RHP); one-for-one rental; no cash,2,P6,Soler hit 3 HRs in 2021 WS for ATL; illustrates sell-low rental discount; Elvis Peguero NOT in this trade (went NYY to LAA for Andrew Heaney same day)
T051,JT Realmuto,2/7/2019,2019,offseason,MIA,PHI,2,C,0,27,arb2,2,5.9,5.9,,,4.4,125,4.5,141,2.6,137,4.5,,3.98,0.42,stable,,0.829,B,0.52,"Will Stewart, Jorge Alfaro, Sixto Sanchez + International Bonus $",Alfaro (MLB starter) + Sanchez (top-10 pitching prospect) + Stewart + $250K intl slot,8,"P5, MLB-solid, P3, CASH","Realmuto had just avoided arbitration at $5.9M for 2019 and had two years of club control remaining (arb-eligible through 2020, FA after). Miami received an established MLB starter in Alfaro (first full season in 2018, .262/.324/.407 with 10 HR) plus the Phillies' top pitching prospect in Sixto Sanchez, ranked #27 overall by MLB Pipeline at the time of the deal and praised for elite velocity/command combination. Will Stewart was a Class-A southpaw coming off an 8-1, 2.06 ERA season but held no national ranking. The Phillies went on to beat Realmuto in 2020 arbitration ($10M vs. his ask of $12.4M), then re-signed him to a five-year, $115.5M deal in January 2021; Miami got essentially nothing lasting — Alfaro washed out, Sanchez battled shoulder injuries and never became the ace projected, and Stewart never reached the majors."
T052,Sean Murphy,12/12/2022,2023,offseason,OAK,ATL,3,C,0,28,arb1,3,4,12.17,,,5.25,148,3.27,119,1.1,43,3.7,3,4.37,0.88,stable,,0.824,B,-0.67,"Royber Salinas, Kyle Muller, Manny Pina, Freddy Tarnok, Esteury Ruiz","4 prospects from ATL (Muller, Tarnok, Salinas, Pina) + Ruiz from MIL in 3-team deal",7,"P6, MLB-depth, MLB-depth, P5, P4","Traded as part of a 3-team trade by the�Oakland Athletics�to the�Atlanta Braves. The�Oakland Athletics,�sent,�Joel Payamps,�to the,�Milwaukee Brewers. The,�Atlanta Braves,�sent,�Justin Yeager,�(minors) and,�William Contreras,�to the,�Milwaukee Brewers. The,�Atlanta Braves,�sent,�Royber Salinas,�(minors),,�Kyle Muller,,�Manny PiÃ±a,�and,�Freddy Tarnok,�to the,�Oakland Athletics. The,�Milwaukee Brewers,�sent,�Esteury Ruiz,�to the,�Oakland Athletics. [FLAG: arb1 at trade date but ATL immediately signed 6yr/$73M extension .� review contract_status and years_control]"
T053,Christian Vazquez,8/1/2022,2022,deadline,BOS,HOU,2,C,0,31,rental,0,7,7,2.2,84,1.2,138,0.9,47,3.44,138,2.2,2,2.04,-0.84,stable,4.24,0.852,B,0.16,"Wilyer Abreu, Enmanuel Valdez","Two prospects (Abreu OF, Valdez INF); rental catcher who helped HOU win 2022 WS",5,"P5, P5","Vazquez was a pure rental — Boston had exercised his $7M option for 2022 and he became a free agent after the season. Houston needed catching depth after Jason Castro went down with a knee injury, and Vazquez was a significant offensive upgrade over Maldonado (.173 BA). He hit .250 in 35 regular-season games and started Game 6 of the 2022 World Series (Houston's championship-clinching win). Both Abreu and Valdez were ranked 29th/30th in Houston's system at the time of the trade with no national top-100 appearances; Valdez had been posting elite Double-A/Triple-A numbers (.327/.410/.606, 21 HR) and Abreu had 19 HR and 31 SB at Double-A. Vazquez signed a 3-year, $30M deal with Minnesota that offseason, validating his market value post-rental."
T054,Christian Yelich,1/25/2018,2018,offseason,MIA,MIL,2,OF,0,26,signed,4,7,7,,,3.7,156,4.9,155,3.6,126,4.9,,4.08,-0.38,stable,,0.899,A,0.82,"Lewis Brinson, Isan Diaz, Monte Harrison, Jordan Yamamoto",Four prospects headlined by Brinson (top-10 OF); Yelich won NL MVP in year one with MIL,9,"P2, P4, P4, P6","Yelich was under a team-friendly 7-year, $49.57M extension signed in March 2015, covering him through 2021 at salaries ranging from $7M (2018) to $14M (2021) with an $15M club option for 2022 — the Marlins were shedding payroll under new ownership (Derek Jeter group) following the Stanton, Ozuna, and Gordon trades that same offseason. Brinson was Milwaukee's No. 1 prospect and ranked 13th nationally per MLB Pipeline at deal time, headlining a package the Brewers built around their top farm assets. Yelich won the 2018 NL MVP (.326/.402/.598, 36 HR) in his first full season in Milwaukee and followed with another MVP-caliber 2019 (.329/.429/.671 through injury), making this one of the most lopsided trades of the decade; none of the four return pieces reached average MLB regular status."
T055,Mookie Betts + David Price,2/10/2020,2020,offseason,BOS,LAD,2,OF,0,27,arb3,1,27,27,,,5.8,150,10.7,136,6.5,153,10.7,,7.61,-1.81,declining,,0.903,A,3.09,"Alex Verdugo, Jeter Downs, Connor Wong",Verdugo (MLB OF) + Downs (top prospect) + Wong (C); BOS sent Price + ~$48M cash to LAD; LAD absorbed remaining ~$48M of Price contract,8,"MLB-solid, P2, P6",BOS Included David Price and Cash
T057,Blake Snell,12/29/2020,2021,offseason,TB,SDP,2,SP,1,28,signed,3,10.5,10,,,1.1,11,2.7,23,7.1,31,7.1,1,4.59,-1.89,declining,,0.9,B,2.51,"Blake Hunt, Francisco Mejia, Luis Patino, Cole Wilcox","Four-piece haul headlined by Patino (top-100 SP prospect); Mejia, Hunt, Wilcox included",7,"P4, MLB-depth, P2, P4","The Rays dealt their 2018 AL Cy Young winner primarily for payroll relief, shedding roughly $39M remaining on Snell's 5-year/$50M deal ($10.5M in 2021, $12.5M in 2022, $16M in 2023). Patino was the headliner, ranked #23 overall by both Baseball America and MLB Pipeline at the time of the trade — a legitimate top-25 arm with a 97 mph fastball who had already debuted in 2020 at age 20. Mejia was an MLB-eligible catcher who had graduated from prospect status, providing depth but limited upside after struggling to hold a roster spot in San Diego. Wilcox was a pre-draft first-round talent who signed for a third-round record $3.3M bonus in 2020 but had zero professional innings at trade time; Hunt was a well-regarded defensive catcher ranked just outside national top-100 lists."
T058,Joe Musgrove,1/19/2021,2021,offseason,PIT,SDP,3,SP,1,28,arb2,2,4.45,4.45,,,1.03,8,3.29,31,2.2,19,3.4,1,2.82,0.47,stable,,0.833,B,0.58,"Drake Fellows, Hudson Head, David Bednar, Omar Cruz, Endy Rodriguez",Five-piece 3-team haul: Bednar (future All-Star closer) + Rodriguez + Fellows + Head + Cruz,4,"P6, P4, P6, P6, P6","Traded as part of a 3-team trade by the,�Pittsburgh Pirates,�to the,�San Diego Padres. The,�San Diego Padres,�sent,�Drake Fellows,�(minors),,�Hudson Head,�(minors),,�David Bednar,�and,�Omar Cruz,�to the,�Pittsburgh Pirates. The,�San Diego Padres,�sent,�Joey Lucchesi,�to the,�New York Mets. The,�New York Mets,�sent,�Endy RodrÃ­guez,�to the,�Pittsburgh Pirates."
T059,Chris Sale,12/6/2016,2017,offseason,CWS,BOS,2,SP,1,27,signed,3,12,12,,,5,32,3.4,31,6.1,26,6.1,,4.74,0.26,stable,,0.989,A,1.36,"Victor diaz, Luis Alexander basabe, Michael Kopech, Yoan Moncada",Franchise haul: Moncada (#1 overall prospect) + Kopech (elite arm) + Basabe + Diaz,8,"P6, P5, P2, P1","Sale was 27 years old with three years of control remaining at a total of ~$38M across two team options, making him one of the most cost-efficient aces in baseball at the time of the deal. Chicago initiated the rebuild after finishing 78-84 in 2016, and the centerpiece return was Moncada — the consensus #1 overall prospect on MLB Pipeline, Baseball America, and Baseball Prospectus, the first time in at least 25 years that the game's top prospect changed hands in a trade; Boston had signed him out of Cuba for a record $31.5M bonus in 2015. Kopech ranked #30 overall on MLB Pipeline at the time and immediately vaulted to the top of the Chicago system alongside Moncada. Boston later extended Sale in March 2019 on a five-year, $145M deal (2020-2024) after he helped them win the 2018 World Series."
T060,Zac Gallen,7/31/2019,2019,deadline,MIA,ARI,2,SP,1,23,pre-arb,5,0.74,0.74,1.3,7,,,,,,,1.3,,,,,,,,,Jazz Chisholm Jr,One-for-one: D-backs top prospect Jazz Chisholm Jr. for rookie controllable starter; both became All-Star,7,P3,"Jazz No 3 ARI prospect, age 21 on opening day 2019, minor league level at trade: AA. Gallen: no 17 MIA Prospect, age 23 opening day 2019, Level at Trade: 4 major league starts at 2.72 era"
T061,Gerrit Cole,1/13/2018,2018,offseason,PIT,HOU,2,SP,1,27,arb2,2,6.75,6.75,,,2.6,33,1.5,21,4.3,32,4.3,,2.66,-0.06,stable,,0.956,A,1.64,"Michael Feliz, Jason Martin, Colin Moran, Joe Musgrove",Four prospects: Musgrove (future no-hitter) + Moran + Feliz + Martin; HOU won WS with Cole,7,"P3, P4, MLB-depth, P5","Musgrove did 2 years in HOU as RP/SP (0.6 total war over span), Feli"
T062,Marcus Stroman,7/28/2019,2019,deadline,TOR,NYM,2,SP,1,28,rental,0,7.4,7.4,2.9,21,0,19,5.1,33,1.4,32,5.1,,2.05,-2.05,declining,4.14,0.933,A,3.05,"Anthony Kay, Simeon Woods Richardson","Two pitching prospects (Kay + Woods Richardson), both top-10 NYM system; solid rental haul",6,"P4, P5","Stroman was 28 with a 2.96 ERA and an All-Star selection in 2019, controllable through 2020 at $7.4M with one arbitration year remaining — a true rental-plus. The Mets received $1.5M from Toronto to offset the $2.5M left on his salary. Anthony Kay (LHP) had climbed to #91 nationally on Baseball America's mid-2019 top 100 and was the Mets' #4 prospect, making this a legitimate fringe top-100 return piece. Simeon Woods Richardson was an 18-year-old 2018 draftee ranked in the Mets' org top-10 but not nationally ranked, adding lottery-ticket upside. Stroman opted out of the COVID-shortened 2020 season, accepted the Mets' qualifying offer, posted a 3.02 ERA across 33 starts in 2021, then signed a 3-year/$71M deal with the Cubs after the season."
